DO,Temp,pH,Time
111.0,26.0,7.96,978.26513671875
111.0,26.0,7.93,983.5812819004059
111.0,26.0,7.92,988.8974320888519
113.0,26.06,7.96,994.2099475860596
112.0,26.06,7.96,1000.1572694778442
111.0,26.06,7.92,1005.2157008647919
112.0,26.06,7.93,1010.3089144229889
113.0,26.06,7.93,1015.4715628623962
112.0,26.12,7.93,1020.7874934673309
112.0,26.12,7.93,1026.1002569198608
112.0,26.12,7.94,1031.4165124893188
112.0,26.12,7.93,1036.7326562404633
112.0,26.19,7.94,1042.0487353801727
113.0,26.19,7.92,1047.3613302707672
112.0,26.19,7.92,1052.6776840686798
111.0,26.19,7.9,1057.9936017990112
113.0,26.19,7.94,1063.3061287403107
113.0,26.19,7.91,1068.6223437786102
113.0,26.25,7.93,1073.9385151863098
112.0,26.25,7.93,1079.2512443065643
113.0,26.25,7.96,1084.567425251007
112.0,26.25,7.91,1089.883264541626
113.0,26.25,7.92,1095.1997029781342
112.0,26.31,7.92,1100.512306690216
112.0,26.31,7.93,1105.828504562378
113.0,26.31,7.92,1111.1446290016174
113.0,26.31,7.91,1116.960244178772
113.0,26.31,7.91,1122.0339045524597
113.0,26.37,7.92,1127.1092109680176
114.0,26.37,7.89,1132.4014613628387
113.0,26.37,7.94,1137.7185113430023
113.0,26.37,7.93,1143.0345816612244
113.0,26.37,7.91,1148.3506865501404
113.0,26.37,7.89,1153.6628828048706
114.0,26.44,7.89,1158.9791643619537
114.0,26.44,7.91,1164.2956886291504
113.0,26.44,7.92,1169.6084089279175
113.0,26.44,7.91,1174.9239573478699
113.0,26.44,7.88,1180.240666627884
114.0,26.5,7.88,1185.5525748729706
113.0,26.5,7.9,1190.8687245845795
114.0,26.5,7.92,1196.1856956481934
115.0,26.56,7.95,1201.501779794693
