DO,Temp,pH,Time
75.0,22.06,8.05,2.770071029663086
75.0,22.06,8.03,7.852503061294556
75.0,22.06,8.03,12.927179098129272
75.0,22.06,8.03,18.22730302810669
75.0,22.06,8.03,23.54239296913147
75.0,22.06,8.03,28.863143920898438
75.0,22.06,8.03,34.17525005340576
